Nivel,Módulo,Competencia,Descriptores de Desempeño,Contextos de Uso
A1,Grammar,"Present Simple (Affirmative, Negative, Questions)","Conjugar correctamente 'to be' y verbos regulares en tercera persona, Formar preguntas básicas con 'Do/Does'","Presentaciones personales, rutinas diarias básicas"
A1,Grammar,"Personal Pronouns & Possessive Adjectives","Identificar y usar I/me, you/your, he/his, she/her, it/its, we/our, they/their","Describir familia, objetos personales"
A1,Grammar,"Imperative Form","Dar instrucciones simples y directas (Go, Stop, Listen, Sit)","Órdenes en clase, instrucciones de seguridad"
A1,Grammar,"There is / There are (Singular & Plural)","Usar correctamente para describir existencia de cosas en ubicaciones","Describir espacios, habitaciones, entornos"
A1,Grammar,"Simple Prepositions of Place & Time","Dominar in, on, at, near, next to, between, at [time], on [day], in [month/year]","Indicaciones de ubicación, horarios, fechas"
A1,Reading,"Simple Public Notices & Signs","Identificar significado de Signs: Exit, Entrance, Open, Closed, Danger, No Smoking, WC","Navigación en espacios públicos, seguridad"
A1,Reading,"Very Short Personal Messages & Notes","Comprender mensajes de 1-2 líneas con vocabulario conocido","SMS, notas de amigos, mensajes simples"
A1,Reading,"Basic Instructions with Visual Support","Seguir instrucciones de 3-4 pasos simples (recetas básicas, cómo usar máquinas)","Manuales de usuario, instrucciones de juegos"
A1,Reading,"Simple Dialogue Exchanges","Comprender diálogos de saludo y presentación","Conversaciones en tiendas, saludos"
A1,Reading,"Numbers, Days, Months in Written Form","Reconocer números cardinales escritos, días y meses","Fechas, horarios, edades, precios"
A1,Writing,"Simple Affirmative & Negative Statements","Escribir oraciones básicas: 'I am happy. I am not sad.'","Descripciones personales básicas"
A1,Writing,"Fill in Basic Personal Information Forms","Completar campos: Name, Age, Address, Phone, Email, Nationality","Formularios de registro, solicitudes"
A1,Writing,"Very Short Messages & Postcards","Escribir 20-30 palabras con saludos y despedidas","Tarjetas postales, mensajes a amigos"
A1,Writing,"Simple Lists & Labels","Crear listas de compras, etiquetas, inventarios básicos","Organización personal, planificación"
A1,Writing,"Copywriting from Models","Reproducir estructuras de oraciones modelo proporcionadas","Refuerzo de patrones gramaticales"
A1,Listening,"Spoken English at Natural Speed (Slower pace recordings)","Entender palabras clave en conversaciones lentas sobre temas familiares","Instrucciones en clase, anuncios"
A1,Listening,"Familiar Phrases & Frequent Expressions","Reconocer: Hello, Good morning, How are you?, What's your name?, Nice to meet you","Saludos, expresiones cotidianas"
A1,Listening,"Numbers, Dates & Phone Numbers Spoken","Captar correctamente teléfonos, edades, precios, direcciones","Información de contacto, transacciones"
A1,Listening,"Simple Classroom Instructions","Comprender: Open your books, Listen carefully, Work in pairs, Repeat, Write down","Dinámicas de clase"
A1,Listening,"Basic Song & Chant Recognition","Seguir palabras en canciones simples con repetición y ritmo","Aprendizaje lúdico, memoria"
A1,Speaking,"Greetings & Introductions","Saludar, presentarse (I'm..., My name is...), despedirse","Interacciones básicas"
A1,Speaking,"Personal Information Exchange","Responder preguntas sobre: nombre, edad, nacionalidad, familia, profesión de padres","Conversaciones de conocimiento"
A1,Speaking,"Simple Likes & Dislikes","Expresar: I like/I don't like + noun, I like/don't like + -ing","Preferencias personales"
A1,Speaking,"Spelling & Letter Recognition","Deletrear su nombre y palabras comunes (A-Z)","Clarificación de comprensión"
A1,Speaking,"Repetition & Parroting Simple Utterances","Reproducir palabras, frases y diálogos modelo sin necesidad de crear","Adquisición de pronunciación y patrones"
A1,Vocabulary,"Numbers 0-100 & Ordinal Basics (1st, 2nd, 3rd)","Reconocer y producir números en contextos reales (edad, precio, teléfono)","Transacciones, horarios"
